crime_name,2016,2017,2018,2019,2020
Acid attack,,,,,0
Agrarian riots,,,,,0
Arson,1.7,0.9,0.6,1.5,0.8
Assault on women with intent to outrage her modesty,2.1,2.6,1.5,2.7,4.7
Attempt to acid attack,,,,,0
Attempt to commit culpable homicide not amounting to murder,,,,,0
Attempt to commit murder,2.2,1.6,2,1.9,3.1
Attempt to commit rape,,,,,0
Auto theft,79.6,52.7,55.7,45.5,48.2
Burglary,24.3,13.4,14.2,18.1,12.7
Caste conflict riots,,,,,0
Causing death by negligence,11.7,11.6,10,8.6,10.2
Causing injuries under rash driving/road rage,,,,,45
Cheating,2.6,3,3.1,1.7,1.3
Communal riots,,,,,0
Counterfeit currency & bank notes total,,,,,0.2
Counterfeiting,0.9,0.5,0.8,0.5,0.2
Counterfeiting currency - notes or bank notes,,,,,0
Counterfeiting government stamp,,,,,0
Criminal breach of trust,5.2,4.8,6,6.7,5
Criminal trespass/burglary,,,,,2.7
Cruelty by husband or his relatives,44.6,37.3,40,38.5,45.6
Culpable homicide not amounting to murder,0.1,0,0.2,0.2,0.1
Custodial rape,0,0,0,0,0
Dacoity,0.9,0.2,1,0.3,0.5
Dacoity with murder,,,,,0
Deaths due to other causes,,,,,0.4
Deaths due to rash/negligent driving,,,,,9.8
Disclosure of identity of victims,,,,,0
Dowry deaths,0,0,0,0.2,0
Extortion,,,,,1.2
Forgery,,,,,0.2
Gang rape,,,,,0
Gang rape other than custodial,,,,,0.2
Grievous hurt,,,,,6.6
House trespass & house breaking,,,,,9.9
Human trafficking,,,,,0
Hurt,39.2,25.9,24.2,27.7,6.6
Importation of girls from foreign country,0,0,0,0,0
Imputation or assertions prejudicial to national integration,,,,,0
Industrial riots,,,,,0
Insult to modesty of women at office premises,,,,,0
Insult to modesty of women at other places,,,,,0.8
Insult to modesty of women in other places related to work,,,,,0
Insult to modesty of women in public transport system,,,,,0
Insult to the modesty of women,1.1,0.5,0.5,0.6,0.8
Kidnapping,,,,,1.9
Kidnapping & abduction,3.9,2.9,4.7,4.5,7.1
Kidnapping & abduction in order to murder,,,,,0
Kidnapping & abduction of others,0.7,0.4,,1.2,
Kidnapping & abduction of women and girls,4.9,5.2,7.6,7.1,
Kidnapping & abduction of women to compel her for marriage,,,,,7.9
Kidnapping for ransom,,,,,0.3
Kidnapping of others,,,1.2,,
Making or possessing materials for forged currency/bank notes,,,,,0
Making or using documents resembling currency notes/bank notes,,,,,0
Making preparation and assembly for committing dacoity,,,,,0
Murder,3.8,3.2,2.9,2.6,3.1
Offences against state,,,,,0
Offences promoting enmity between different groups,,,,,0.1
Offences related to counterfeit coin,,,,,0
Other IPC crimes,159.1,121.6,138.7,92.3,58
Other cases of assault on women to outrage her modesty,,,,,3.9
Other caste conflict riots,,,,,0
Other kidnapping & abduction,,,,,1.2
Other rape,1.8,1.5,1.7,2.1,0.166666667
Other rape other than custodial,,,,,2.4
Other theft,24.1,13.7,17.1,15.8,11.8
Political riots,,,,,0
Possession of forged or counterfeiting currency/bank notes,,,,,0
Preparation & assembly for dacoity,0,0,0,0,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.1
Rape,1.8,1.5,1.7,2.1,2.6
Rape other than custodial,,,,,2.6
Riots,6.4,4.8,5.3,5,4.4
Riots others,,,,,4.4
Robbery,3.4,2.6,3.1,2.9,6.5
SCs/STs vs Non-SCs/STs riots,,,,,0
Sectarian riots,,,,,0
Sedition,,,,,0
Sexual harassment,,,,,0.8
Sexual harassment and molestation of women,3.2,3,2,3.3,5.5
Stalking,,,,,0
Student riots,,,,,0
Theft,103.7,66.4,72.8,61.3,60
Total cognizable crimes under IPC,401.6,283.2,310.5,256.8,252.8
Unlawful assembly,,,,,1
Unnatural offences,,,,,0.1
Use of criminal force with intent to disrobe women,,,,,0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.2
Voyeurism,,,,,0
